ID,NAME,SOURCE,STYLE,TYPE,LVL,MVL,FILTER,OPERATION,REPLACE,SKIP_GRID_FILTER
1,바다,MD_SEA,2,polygon,2,4,,,,
2,시가지구역,MD_AREA_POLY_501,70,polygon,2,4,,,,
3,등고레벨1,MD_TERRAIN_POLY_401,71,polygon,2,4,,,,
4,등고레벨2,MD_TERRAIN_POLY_402,72,polygon,2,4,,,,
5,등고레벨3,MD_TERRAIN_POLY_403,73,polygon,2,4,,,,
6,등고레벨4,MD_TERRAIN_POLY_404,74,polygon,2,4,,,,
7,등고레벨5,MD_TERRAIN_POLY_405,75,polygon,2,4,,,,
8,등고레벨6,MD_TERRAIN_POLY_406,76,polygon,2,4,,,,
9,등고레벨7,MD_TERRAIN_POLY_407,77,polygon,2,4,,,,
10,녹지구역,MD_AREA_POLY_504,7,polygon,2,4,,,,
11,아파트구역,MD_AREA_POLY_503,8,polygon,2,4,,,,
12,스키장구역,MD_AREA_POLY_517,9,polygon,2,4,,,,
13,놀이공원구역,MD_AREA_POLY_505,11,polygon,2,4,,,,
14,골프장구역,MD_GOLF_POLY_601,12,polygon,2,4,,,,
15,도심공원구역,MD_AREA_POLY_506,13,polygon,2,4,,,,
16,대단지구역,MD_AREA_POLY_513,14,polygon,2,4,,,,
17,대학교구역,MD_AREA_POLY_508,18,polygon,2,4,,,,
18,관공서구역,MD_AREA_POLY_511,21,polygon,2,4,,,,
19,실폭하천,DT_WATER_POLY_311,33,polygon,2,4,,,,
21,호수저수지,DT_WATER_POLY_312,34,polygon,2,4,,,,
22,세도로-DT,DT_ROAD_POLY_110,110,polygon,2,2,,,,
23,기타도로-DT,DT_ROAD_POLY_109,109,polygon,2,3,,,,
24,일반도로-DT,DT_ROAD_POLY_107,107,polygon,2,3,,,,
25,주요간선도로-DT,DT_ROAD_POLY_105,105,polygon,2,3,,,,
26,지방도-DT,DT_ROAD_POLY_104,104,polygon,2,3,,,,
27,국도-DT,DT_ROAD_POLY_103,103,polygon,2,3,,,,
28,도시고속화도로-DT,DT_ROAD_POLY_102,102,polygon,2,3,,,,
29,고속도로-DT,DT_ROAD_POLY_101,101,polygon,2,3,,,,
30,일반도로2,MD_ROAD_POLY_108,108,polygon,4,4,,,,
31,일반도로,MD_ROAD_POLY_107,107,polygon,4,4,,,,
32,주요간선도로,MD_ROAD_POLY_105,105,polygon,4,4,,,,
33,지방도,MD_ROAD_POLY_104,104,polygon,4,4,,,,
34,국도,MD_ROAD_POLY_103,103,polygon,4,4,,,,
35,도시고속화도로,MD_ROAD_POLY_102,102,polygon,4,4,,,,
36,고속도로,MD_ROAD_POLY_101,101,polygon,4,4,,,,
0,도경계,MD_BOUND_LINE_1003,120,line,2,4,,,,
0,시경계,MD_BOUND_LINE_1004,121,line,2,4,,,,
0,구군경계,MD_BOUND_LINE_1005,122,line,2,4,,,,
20,신림선,MD_TRAINROAD_LINE_1239,839,line,2,4,,,,
37,인천자기부상철도,MD_TRAINROAD_LINE_1238,838,line,2,4,,,,
38,김포도시철도,MD_TRAINROAD_LINE_1237,837,line,2,4,,,,
39,서해선,MD_TRAINROAD_LINE_1236,836,line,2,4,,,,
40,동해선,MD_TRAINROAD_LINE_1235,835,line,2,4,,,,
41,우이신설선,MD_TRAINROAD_LINE_1234,834,line,2,4,,,,
42,경강선,MD_TRAINROAD_LINE_1233,833,line,2,4,,,,
43,대구3호선,MD_TRAINROAD_LINE_1231,831,line,2,4,,,,
44,인천2호선,MD_TRAINROAD_LINE_1232,832,line,2,4,,,,
45,의정부경전철,MD_TRAINROAD_LINE_1230,830,line,2,4,,,,
46,부산김해경전철,MD_TRAINROAD_LINE_1229,829,line,2,4,,,,
47,경의선,MD_TRAINROAD_LINE_1227,827,line,2,4,,,,
48,수인선,MD_TRAINROAD_LINE_1228,828,line,2,4,,,,
49,부산4호선,MD_TRAINROAD_LINE_1226,826,line,2,4,,,,
50,경춘선,MD_TRAINROAD_LINE_1225,825,line,2,4,,,,
